label,k,m,ring_dim,depth,phase_init_ms,phase_insert_ms,phase_delete_ms,phase_signature_ms,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error,ops_insert_per_sec,ops_delete_per_sec
accuracy_0.100000_t39,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t40,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t41,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t42,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t43,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t44,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t45,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t46,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t47,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t48,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.100000_t49,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.088710,0.052632,0.036078,0.0,0.0
accuracy_0.200000_t0,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t1,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t2,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t3,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t4,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t5,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t6,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t7,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t8,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t9,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t10,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t11,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t12,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t13,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t14,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t15,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t16,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t17,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t18,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t19,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t20,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t21,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t22,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t23,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t24,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t25,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t26,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t27,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t28,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t29,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t30,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t31,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t32,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t33,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t34,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t35,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t36,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t37,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t38,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
accuracy_0.200000_t39,128,32,8192,5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.120968,0.111111,0.009857,0.0,0.0
